pl_name,lightyears,planet Type
47 UMa d,45,Gas Giant
55 Cnc d,41,Gas Giant
61 Vir d,28,Neptune-Like
CoRoT-7 d,522,Neptune-Like
DMPP-1 d,204,Super Earth
EPIC 201754305 d,1092,Super Earth
EPIC 206024342 d,1206,Neptune-Like
EPIC 249893012 d,1048,Neptune-Like
GJ 1061 d,12,Super Earth
GJ 163 d,49,Neptune-Like
GJ 180 d,39,Neptune-Like
GJ 3138 d,93,Neptune-Like
GJ 3293 d,66,Neptune-Like
GJ 357 d,31,Neptune-Like
GJ 433 d,30,Neptune-Like
GJ 676 A d,52,Super Earth
GJ 876 d,15,Neptune-Like
GJ 9827 d,97,Neptune-Like
HD 10180 d,127,Gas Giant
HD 108236 d,211,Neptune-Like
HD 11506 d,167,Gas Giant
HD 125612 d,188,Gas Giant
HD 136352 d,48,Neptune-Like
HD 141399 d,121,Gas Giant
HD 142 A d,85,Gas Giant
HD 153557 d,59,Gas Giant
HD 158259 d,88,Neptune-Like
HD 160691 d,51,Neptune-Like
HD 164922 d,72,Super Earth
HD 181433 d,88,Gas Giant
HD 184010 d,198,Gas Giant
HD 191939 d,175,Neptune-Like
HD 20781 d,117,Neptune-Like
HD 20794 d,20,Super Earth
HD 215152 d,70,Super Earth
HD 219134 d,21,Super Earth
HD 22946 d,205,Neptune-Like
HD 23472 d,127,Terrestrial
HD 27894 d,143,Gas Giant
HD 28109 d,455,Neptune-Like
HD 31527 d,125,Neptune-Like
HD 3167 d,154,Super Earth
HD 33142 d,396,Gas Giant
HD 34445 d,150,Neptune-Like
HD 37124 d,103,Gas Giant
HD 39194 d,86,Super Earth
HD 40307 d,42,Neptune-Like
HD 69830 d,41,Neptune-Like
HD 7924 d,55,Neptune-Like
HD 93385 d,141,Neptune-Like
HD 96700 d,83,Neptune-Like
HIP 14810 d,165,Gas Giant
HIP 41378 d,347,Neptune-Like
HIP 57274 d,84,Gas Giant
HR 858 d,104,Neptune-Like
HR 8799 d,135,Gas Giant
K2-133 d,245,Super Earth
K2-136 d,193,Super Earth
K2-138 d,661,Super Earth
K2-148 d,406,Super Earth
K2-155 d,237,Super Earth
