pl_name,hostname,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_dens,pl_orbeccen,pl_eqt,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,st_rad,st_age,st_dens,lightyears,planet Type
47 UMa d,47 UMa,d,HD 95128,Gaia DR2 777254360337133312,1,3,0,Radial Velocity,2009,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,14002.0,11.6,,,,,0.16,,,,,,1.21,,0.8366,45,Gas Giant
55 Cnc d,55 Cnc,d,HD 75732,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,2002,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,5574.2,5.54,,,,,0.139,,,,,,0.96,,,41,Gas Giant
61 Vir d,61 Vir,d,HD 115617,Gaia DR2 3507879565090229888,1,3,0,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,123.01,0.476,,,,,0.35,,,,,,0.96,8.96,,28,Neptune-Like
CoRoT-7 d,CoRoT-7,d,,Gaia DR2 3107267177757848576,1,3,0,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,8.966,,,,17.142,,,,,,,,,1.8,,522,Neptune-Like
DMPP-1 d,DMPP-1,d,HD 38677,Gaia DR2 3011005587574818432,1,4,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,2.882,0.0422,,,,,0.07,1632.0,,,,,1.26,2.01,,204,Super Earth
EPIC 201754305 d,K2-16,d,,Gaia DR2 3897048338487064064,1,3,0,Transit,2019,Space,K2,0.95 m Kepler Telescope,2.71578,,1.03,0.092,,,,,,,0.015,,,,,1092,Super Earth
EPIC 206024342 d,EPIC 206024342,d,,Gaia DR2 6839540362940861568,1,3,0,Transit,2021,Space,K2,0.95 m Kepler Telescope,14.647531,,2.6,0.232,,,,,,29.0,0.0217,,1.1,,,1206,Neptune-Like
EPIC 249893012 d,EPIC 249893012,d,,Gaia DR2 6259263137059042048,1,3,0,Transit,2020,Space,K2,0.95 m Kepler Telescope,35.747,0.22,3.94,0.352,10.18,0.91,0.15,752.0,9.56,27.42,0.0211,,1.71,9.0,0.298,1048,Neptune-Like
GJ 1061 d,GJ 1061,d,,Gaia DR2 4848140361962951552,1,3,0,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,13.031,0.054,,,,,0.53,,,,,,0.16,7.0,,12,Super Earth
GJ 163 d,GJ 163,d,,Gaia DR2 4780294722094459904,1,3,0,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,603.95116,1.0304,,,,,0.373,,,,,,,,,49,Neptune-Like
GJ 180 d,GJ 180,d,,Gaia DR2 2979590513145784192,1,3,0,Radial Velocity,2020,Ground,Multiple Facilities,Multiple Telescopes,106.3,0.309,,,,,0.14,,,,,,,,,39,Neptune-Like
