pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
11 Com b,b,HD 107383,Gaia DR2 3946945413106333696,2.0,1.0,0.0,Radial Velocity,2007.0,Ground,Xinglong Station,2.16 m Telescope,
11 UMi b,b,HD 136726,Gaia DR2 1696798367260229376,1.0,1.0,0.0,Radial Velocity,2009.0,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,
14 And b,b,HD 221345,Gaia DR2 1920113512486282240,1.0,1.0,0.0,Radial Velocity,2008.0,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,
14 Her b,b,HD 145675,Gaia DR2 1385293808145621504,1.0,2.0,0.0,Radial Velocity,2002.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
16 Cyg B b,b,HD 186427,Gaia DR2 2135550755683407232,3.0,1.0,0.0,Radial Velocity,1996.0,Ground,Multiple Observatories,Multiple Telescopes,
17 Sco b,b,,Gaia DR2 4342464209753404416,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,Lick Observatory,Coude Auxiliary Telescope,
18 Del b,b,HD 199665,Gaia DR2 1756741374681702784,2.0,1.0,0.0,Radial Velocity,2008.0,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,
1RXS J160929.1-210524 b,b,,Gaia DR2 6243841249531772800,1.0,1.0,0.0,Imaging,2008.0,Ground,Gemini Observatory,8.19 m Gemini North Telescope,
24 Boo b,b,HD 127243,Gaia DR2 1603662211901473408,1.0,1.0,0.0,Radial Velocity,2018.0,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,
24 Sex b,b,HD 90043,Gaia DR2 3830897080395058048,1.0,2.0,0.0,Radial Velocity,2010.0,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,
24 Sex c,c,HD 90043,Gaia DR2 3830897080395058048,1.0,2.0,0.0,Radial Velocity,2010.0,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,
2M0437 b,b,,Gaia DR2 151499478104075008,1.0,1.0,0.0,Imaging,2021.0,Ground,Subaru Telescope,8.2 m Subaru Telescope,
2MASS J01033563-5515561 AB b,b,,,2.0,1.0,0.0,Imaging,2013.0,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,
2MASS J01225093-2439505 b,b,,Gaia DR2 5040416186560252416,1.0,1.0,0.0,Imaging,2013.0,Ground,W. M. Keck Observatory,10 m Keck II Telescope,
2MASS J02192210-3925225 b,b,,Gaia DR2 4963614887043956096,1.0,1.0,0.0,Imaging,2015.0,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,
2MASS J04414489+2301513 b,b,,Gaia DR2 146487556211644544,1.0,1.0,0.0,Imaging,2010.0,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,
2MASS J12073346-3932539 b,b,,Gaia DR2 3459372646830687104,1.0,1.0,0.0,Imaging,2004.0,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,
2MASS J19383260+4603591 b,b,,Gaia DR2 2080063931448749824,2.0,3.0,0.0,Eclipse Timing Variations,2015.0,Space,Kepler,0.95 m Kepler Telescope,
2MASS J22362452+4751425 b,b,,Gaia DR2 1986772848034988544,1.0,1.0,0.0,Imaging,2016.0,Ground,W. M. Keck Observatory,10 m Keck II Telescope,
30 Ari B b,b,HD 16232,Gaia DR2 102082477749475200,4.0,1.0,0.0,Radial Velocity,2009.0,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,
4 UMa b,b,HD 73108,Gaia DR2 1092230803510960640,1.0,1.0,0.0,Radial Velocity,2006.0,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,
42 Dra b,b,HD 170693,Gaia DR2 2256800156348230400,2.0,1.0,0.0,Radial Velocity,2008.0,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,
47 UMa b,b,HD 95128,Gaia DR2 777254360337133312,1.0,3.0,0.0,Radial Velocity,1996.0,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,
47 UMa c,c,HD 95128,Gaia DR2 777254360337133312,1.0,3.0,0.0,Radial Velocity,2001.0,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,
